"Freq [GHz]","AbsorbanceTE []","AbsorbanceTM []"
30.53,0.00262808415687321,0.00601470456378217
30.54,0.00262512695278438,0.00600166599798357
30.55,0.00262217755757765,0.00598867563057148
30.56,0.00261923598515701,0.00597573334506207
30.57,0.00261630224871512,0.00596283902350936
30.58,0.00261337636073822,0.0059499925465154
30.59,0.0026104583330181,0.00593719379328128
30.6,0.00260754817666764,0.0059244426416416
30.61,0.00260464590209164,0.00591173896805475
30.62,0.00260175151907094,0.0058990826477171
30.63,0.00259886503667284,0.00588647355448713
30.64,0.00259598646333459,0.00587391156099804
30.65,0.00259311580687271,0.00586139653868645
30.66,0.00259025307442229,0.00584892835775264
30.67,0.00258739827251875,0.00583650688727089
30.68,0.00258455140707514,0.00582413199517295
30.69,0.00258171248338457,0.00581180354828748
30.7,0.00257888150613561,0.00579952141236395
30.71,0.0025760584794462,0.00578728545213547
30.72,0.00257324340681753,0.00577509553128364
30.73,0.00257043629119824,0.00576295151253192
30.74,0.00256763713492769,0.00575085325760039
30.75,0.00256484593982764,0.00573880062732401
30.76,0.00256206270714743,0.0057267934816071
30.77,0.00255928743757838,0.00571483167946685
30.78,0.00255652013129037,0.00570291507908227
30.79,0.00255376078790026,0.00569104353777772
30.8,0.00255100940652331,0.00567921691209738
30.81,0.00254826598575453,0.00566743505780209
30.82,0.00254553052366546,0.00565569782988828
30.83,0.00254280301784593,0.00564400508263496
30.84,0.00254008346538248,0.00563235666961093
30.85,0.00253737186288128,0.00562075244370563
30.86,0.00253466820644455,0.00560919225713197
30.87,0.00253197249175618,0.00559767596151473
